Date,Gewicht (kg),Fettmasse (kg),Knochenmasse (kg),Muskelmasse (kg),Wasseranteil (kg),Kommentare
2020-06-29 03:50:45,64.72,,,,,
2020-06-28 21:26:49,64.86,,,,,
2020-06-28 06:41:42,66.01,,,,,
2020-06-27 20:09:12,65.89,,,,,
2020-06-27 04:50:00,64.1,,,,,
2020-06-25 22:30:12,64.85,,,,,
2020-06-24 16:05:28,65.97,,,,,
2020-06-22 20:05:50,67.68,,,,,
2020-06-20 12:26:04,66.37,,,,,
2020-06-18 14:11:51,65.8,,,,,
2020-06-18 08:42:03,65.12,,,,,
2020-06-16 11:49:06,65.83,,,,,
2020-06-15 21:37:33,66.61,,,,,
2020-06-15 11:37:09,65.95,,,,,
2020-06-14 09:23:10,67.11,,,,,
2020-06-12 19:40:28,68.33,,,,,
2020-06-04 05:47:08,67.59,,,,,
2020-06-04 01:12:08,69.5,,,,,
2020-06-01 13:05:12,67.54,,,,,
2020-05-27 00:40:45,68.07,,,,,
2020-05-26 15:31:05,67.38,,,,,
2020-05-26 00:41:06,69.07,,,,,
2020-05-22 13:19:17,68.9,,,,,
2020-05-21 23:36:34,66.93,,,,,
2020-05-21 17:43:00,66.36,,,,,
2020-05-21 00:30:06,68.23,,,,,
2020-05-19 14:42:26,68.15,,,,,
2020-05-18 21:17:40,69.98,,,,,
2020-05-15 16:22:15,71.19,,,,,
2020-05-14 15:18:04,72,,,,,
2020-03-27 16:44:39,60.3,,,,,
2020-03-21 18:42:56,70.47,,,,,
2020-03-18 20:37:19,67.72,,,,,
2020-03-17 23:10:31,69.1,,,,,
2020-03-16 12:04:16,66.72,,,,,
2020-03-12 15:29:41,66.45,,,,,
2020-03-08 23:12:57,64.18,,,,,
2020-03-08 23:12:24,64.13,,,,,
2020-03-08 09:41:12,64.7,,,,,
2020-03-05 02:58:33,65.51,,,,,
2020-03-03 22:59:06,66.78,,,,,
2020-03-02 19:06:25,66.92,,,,,
2020-03-02 00:59:08,66.97,,,,,
2020-02-29 08:25:02,65.65,,,,,
2020-02-27 18:00:22,65.63,,,,,
2020-02-23 08:28:04,66.17,,,,,
2020-02-22 22:52:20,67.38,,,,,
2020-02-22 17:44:29,65.74,,,,,
2020-02-13 21:33:14,62.76,,,,,
2020-02-13 21:19:46,62.19,,,,,
2020-02-09 17:51:09,64.91,,,,,
2020-02-09 17:50:48,65.73,,,,,
2020-02-09 14:20:19,65.19,,,,,
2020-01-16 22:18:30,63.99,,,,,
2020-01-14 12:29:29,63.22,,,,,
2020-01-14 11:44:30,63.82,,,,,
2020-01-12 23:46:17,65.77,,,,,
2020-01-10 01:10:11,67.12,,,,,
2020-01-07 22:06:57,65.14,,,,,
2020-01-04 23:40:06,65.59,,,,,
2020-01-02 02:47:31,65.11,,,,,
2019-12-30 21:29:46,65.24,,,,,
2019-12-24 03:57:34,64.61,,,,,
2019-12-20 03:31:08,64.16,,,,,
2019-12-19 13:02:16,63.24,,,,,
2019-12-18 18:13:33,63.65,,,,,
2019-12-17 15:20:33,64.73,,,,,
2019-12-17 15:14:04,64.63,,,,,
2019-12-16 19:13:23,65.53,,,,,
2019-12-13 16:37:46,64.39,,,,,
2019-12-11 02:00:46,66.5,,,,,
2019-12-09 21:00:54,67.58,,,,,
2019-12-08 18:19:31,66.3,,,,,
2019-12-08 02:59:48,67.57,,,,,
2019-12-05 13:39:58,65.16,,,,,
2019-12-05 02:10:02,65.77,,,,,
2019-12-04 15:12:06,66.11,,,,,
2019-12-02 02:02:24,66.71,,,,,
2019-11-26 15:27:35,67.36,,,,,
2019-11-25 00:36:53,68.08,,,,,
2019-11-24 12:26:13,66.59,,,,,
2019-11-23 06:52:46,69.28,,,,,
2019-11-20 19:41:44,68.55,,,,,
2019-11-20 02:06:01,68.89,,,,,
2019-11-16 00:23:58,68.58,,,,,
2019-11-15 04:00:40,69.14,,,,,
2019-11-13 00:49:41,69.43,,,,,
2019-11-12 14:16:42,68.03,,,,,
2019-11-11 16:56:07,68.17,,,,,
2019-11-11 06:51:02,67.46,,,,,
2019-11-09 18:16:00,67.06,,,,,
2019-11-09 04:34:47,67.61,,,,,
2019-11-08 15:37:02,67.51,,,,,
2019-11-08 11:13:19,68.9,,,,,
2019-11-07 12:09:28,67.9,,,,,
2019-11-05 08:19:40,69.55,,,,,
2019-11-05 04:09:19,68.25,,,,,
2019-11-04 07:02:01,68.38,,,,,
2019-11-04 06:42:49,69.43,,,,,
2019-11-03 15:43:58,68.46,,,,,
2019-11-03 04:53:24,69.86,,,,,
2019-11-03 00:44:08,70.11,,,,,
2019-11-01 16:11:38,69.75,,,,,
2019-11-01 02:56:26,70.34,,,,,
2019-10-31 21:09:43,71.95,,,,,
2019-10-30 21:36:59,69.49,,,,,
2019-10-29 14:47:27,71.17,,,,,
2019-10-28 00:14:24,70.19,,,,,
2019-10-25 22:39:09,71.28,,,,,
2019-10-25 14:23:07,70.08,,,,,
2019-10-22 13:04:21,71.02,,,,,
2019-10-17 23:25:20,71.77,,,,,
2019-10-13 05:40:12,70.83,,,,,
2019-10-10 14:42:57,72.83,,,,,
2019-10-03 00:15:25,70.63,,,,,
2019-09-25 05:50:24,73.6,,,,,
2019-09-24 05:20:04,73.1,,,,,
2019-09-22 11:03:36,73.11,,,,,
2019-09-20 21:56:12,74.06,,,,,
2019-09-19 18:15:50,73.39,,,,,
2019-09-18 04:57:00,74.39,,,,,
2019-09-17 22:42:09,75.04,,,,,
2019-09-17 17:37:39,73.7,,,,,
2019-09-17 14:44:22,73.31,,,,,
2019-09-16 08:08:01,75.78,,,,,
2019-09-15 17:45:16,75.29,,,,,
2019-09-15 14:05:46,74.5,,,,,
2019-09-15 05:50:01,74.94,,,,,
2019-09-13 02:41:11,75.99,,,,,
2019-09-07 08:40:09,77.4,,,,,
2019-09-05 04:20:11,76.6,,,,,
2019-08-28 00:49:56,78.52,,,,,
2019-08-23 03:16:24,77.5,,,,,
2019-08-17 13:01:22,77.36,,,,,
2019-08-10 09:39:46,77.12,,,,,
2019-08-07 17:19:10,76.76,,,,,
2019-08-05 06:29:52,76.88,,,,,
2019-08-02 15:55:13,76.4,,,,,
2019-08-01 16:21:21,77.08,,,,,
2019-08-01 15:47:56,77.22,,,,,
2019-07-31 02:50:54,76,,,,,
2019-07-29 10:50:03,76,,,,,
2019-07-29 04:51:32,75.62,,,,,
2019-07-27 22:01:25,76.96,,,,,
2019-07-25 05:55:55,77.01,,,,,
2019-07-18 14:25:53,76.22,,,,,
2019-07-14 05:23:39,76.62,,,,,
2019-07-03 11:41:19,77.87,,,,,
2019-06-27 15:25:16,76.44,,,,,
2019-06-26 20:58:39,77.01,,,,,
2019-06-26 20:17:45,78,,,,,
2019-06-20 06:54:40,77.8,,,,,
2019-06-19 06:09:46,77.66,,,,,
2019-06-18 09:22:42,77.57,,,,,
2019-06-17 08:12:08,79.35,,,,,
2019-06-13 00:41:35,76.6,,,,,
2019-06-13 00:41:07,77.69,,,,,
2019-06-13 00:15:58,77.23,,,,,
2019-06-12 06:36:33,76.9,,,,,
2019-06-12 05:29:34,78.02,,,,,
2019-06-11 16:53:31,77.51,,,,,
2019-06-11 15:16:15,78.41,,,,,
2019-06-11 15:09:29,79.19,,,,,
2019-06-11 03:52:25,77.68,,,,,
2019-06-10 15:51:49,78.23,,,,,
2019-06-09 12:49:03,78.89,,,,,
2019-06-08 10:55:57,78.61,,,,,
2019-06-05 10:51:02,81.26,,,,,
2019-05-30 23:22:53,78.62,,,,,
2019-05-26 20:53:26,78.04,,,,,
2019-05-26 02:43:05,79.36,,,,,
2019-05-22 20:55:37,79.29,,,,,
2019-05-20 07:43:12,78.63,,,,,
2019-05-17 14:37:16,78.37,,,,,
2019-05-14 13:16:05,78.85,,,,,
2019-05-14 02:31:24,79.48,,,,,
2019-05-12 14:30:46,80.03,,,,,
2019-05-11 15:48:56,78.94,,,,,
2019-05-11 04:25:56,80.78,,,,,
2019-05-10 11:23:09,78.42,,,,,
2019-05-10 01:14:29,80.46,,,,,
2019-05-09 19:24:20,78.77,,,,,
2019-05-09 14:41:11,81.05,,,,,
2019-05-04 09:56:09,82.57,,,,,
2019-05-01 08:44:32,80.97,,,,,
2019-04-30 13:57:25,81.83,,,,,
2019-04-30 09:42:26,81.7,,,,,
2019-04-24 22:51:42,81.71,,,,,
2019-04-22 02:35:33,83.2,,,,,
2019-04-18 11:13:12,81.81,,,,,
2019-04-14 22:11:52,81.3,,,,,
2019-04-14 18:06:44,81.62,,,,,
2019-04-14 00:24:52,80.92,,,,,
2019-04-13 10:10:13,82.42,,,,,
2019-04-11 07:57:19,81.78,,,,,
2019-04-09 14:33:12,80.8,,,,,
2019-04-07 04:52:33,82.76,,,,,
2019-03-30 13:25:17,81.5,,,,,
2019-03-27 08:33:07,80.48,,,,,
2019-03-25 23:57:24,82.33,,,,,
2019-03-25 06:35:11,82.62,,,,,
2019-03-21 06:30:30,85.59,,,,,
2019-02-27 02:57:16,84.27,,,,,
2019-02-14 14:42:18,82.08,,,,,
2019-02-13 11:32:41,83.54,,,,,
2019-02-04 01:24:18,80.19,,,,,
2019-01-31 19:10:50,81.59,,,,,
2019-01-30 17:45:36,80.44,,,,,
2019-01-29 16:26:57,79.62,,,,,
2019-01-25 16:28:19,78.94,,,,,
2019-01-25 15:01:14,80.69,,,,,
2019-01-24 19:10:52,81.09,,,,,
2019-01-23 16:47:38,81.13,,,,,
2019-01-22 15:36:36,81.99,,,,,
2019-01-20 13:11:58,81.27,,,,,
2019-01-20 12:17:45,82.53,,,,,
2019-01-17 07:23:13,81.49,,,,,
2019-01-14 04:50:23,83.51,,,,,
2019-01-13 03:06:34,81.74,,,,,
2019-01-11 08:42:55,82.43,,,,,
2019-01-10 22:02:07,81.87,,,,,
2019-01-08 22:37:35,82.92,,,,,
2019-01-04 00:02:12,85.14,,,,,
2019-01-02 18:43:01,84.56,,,,,
2018-12-22 18:49:02,83.59,,,,,
2018-12-22 16:39:36,81.43,,,,,
2018-12-19 10:30:55,83.66,,,,,
2018-12-19 07:40:17,82.55,,,,,
2018-12-15 20:49:56,83.89,,,,,
2018-12-14 08:40:17,83.01,,,,,
2018-12-06 12:42:35,86.97,,,,,
2018-12-05 09:44:30,84.79,,,,,
2018-11-30 06:49:56,85.87,,,,,
2018-11-18 20:38:09,85.7,,,,,
2018-11-14 03:14:24,87.16,,,,,
2018-11-08 09:46:48,85.5,,,,,
2018-11-04 08:01:00,84.02,,,,,
2018-11-02 15:25:14,83.36,,,,,
2018-10-30 08:49:24,85.43,,,,,
2018-10-21 23:28:36,83.62,,,,,
2018-10-21 07:29:49,84.16,,,,,
2018-10-17 19:18:02,84.48,,,,,
2018-10-16 02:07:54,83.74,,,,,
2018-10-07 19:03:25,85.59,,,,,
2018-10-06 17:53:16,86.49,,,,,
2018-09-28 13:05:55,85.04,,,,,
2018-09-26 03:21:31,84.5,,,,,
2018-09-25 04:10:59,84.92,,,,,
2018-09-24 21:52:36,84.84,,,,,
2018-09-15 01:21:55,87.2,,,,,
2018-09-15 01:21:04,87.17,,,,,
2018-09-11 21:30:24,85.54,,,,,
2018-09-06 18:20:19,84.64,,,,,
2018-09-03 05:08:01,85.3,,,,,
2018-08-28 03:44:08,85.87,,,,,
2018-08-22 14:22:18,83.02,,,,,
2018-08-19 01:14:54,85.74,,,,,
2018-08-06 21:22:24,82.52,,,,,
2018-08-04 20:47:50,84.23,,,,,
2018-08-02 04:42:19,83.9,,,,,
2018-07-30 09:59:57,83.06,,,,,
2018-07-25 16:42:14,85.41,,,,,
2018-07-22 23:46:38,84.47,,,,,
2018-07-22 05:59:30,84.92,,,,,
2018-07-18 16:40:58,84.44,,,,,
2018-07-17 16:09:54,84.94,,,,,
2018-06-22 12:00:11,87.75,,,,,
2018-06-21 12:58:19,87.47,,,,,
2018-06-20 19:30:46,87.89,,,,,
2018-06-20 19:30:21,87.91,,,,,
2018-06-20 18:01:40,86.96,,,,,
2018-06-19 13:33:38,88.04,,,,,
2018-06-18 16:38:20,88.97,,,,,
2018-06-18 14:03:00,89.13,,,,,
2018-06-14 07:20:34,87.11,,,,,
2018-06-12 05:04:11,84.26,,,,,
2018-06-11 14:14:55,84.78,,,,,
2018-06-10 06:01:28,85.16,,,,,
2018-06-10 06:00:05,85.25,,,,,
2018-06-10 05:58:55,85.28,,,,,
2018-06-10 04:37:40,83.86,,,,,
2018-06-09 09:37:37,85.08,,,,,
2018-06-08 14:17:45,87.56,,,,,
2018-06-06 01:29:56,87.43,,,,,
2018-06-05 05:36:55,87.65,,,,,
2018-06-04 17:28:18,86.74,,,,,
2018-06-03 21:10:05,85.12,,,,,
2018-06-03 07:54:05,87.08,,,,,
2018-06-03 07:52:29,87.22,,,,,
2018-06-03 07:52:11,87.21,,,,,
2018-06-03 07:51:30,87.27,,,,,
2018-06-03 07:50:07,87.23,,,,,
2018-05-31 19:43:28,86.06,,,,,
2018-05-30 20:41:07,86.91,,,,,
2018-05-29 21:30:30,84.62,,,,,
2018-05-29 20:19:10,85.72,,,,,
2018-05-29 19:15:38,85.71,,,,,
2018-05-29 18:52:35,85.71,,,,,
2018-05-29 18:51:18,87.43,,,,,
2018-05-29 18:44:55,85.45,,,,,
2018-05-29 18:33:57,85.41,,,,,
2018-05-29 18:33:46,85.46,,,,,
2018-05-29 17:55:04,85.42,,,,,
2018-05-29 17:54:45,85.39,,,,,
2018-05-29 17:54:06,85.34,,,,,
2018-05-29 17:23:28,88.48,,,,,
2018-05-29 17:20:47,86.52,,,,,
2018-05-29 17:19:11,86.42,,,,,
2018-03-30 19:54:19,82.35,20.76,,,,
2018-03-29 22:43:16,82.7,21.89,,,,
2018-03-26 16:18:54,79.9,21.18,,,,
2018-03-25 17:12:59,79.75,21.79,,,,
2018-03-24 13:26:14,79.5,21.09,,,,
2018-03-23 14:57:59,79.55,20.83,,,,
2018-03-23 04:49:30,80.95,23.57,,,,
2018-03-22 12:16:53,82,24.18,,,,
2018-03-21 14:04:39,80.4,25.09,,,,
2018-03-20 10:57:17,80.75,,,,,
2018-03-19 20:10:39,83.85,27.97,,,,
2018-03-17 18:25:53,82.1,23.26,,,,
2018-03-16 22:16:31,82.8,,,,,
2018-03-14 22:39:28,82.5,20.05,,,,
2018-03-12 10:21:36,84.6,24.41,,,,
2018-03-06 20:53:01,82.85,22.75,,,,
2018-03-06 20:18:13,85.35,26.12,,,,
2018-03-06 07:19:04,83.7,24.32,,,,
2018-03-05 00:56:22,81.95,23.7,,,,
2018-03-05 00:54:56,82.15,,,,,
2018-03-04 22:03:18,82.5,,,,,
2018-03-03 23:45:02,83.45,,,,,
2018-02-28 22:42:19,84.3,,,,,
2018-02-27 17:05:14,85.6,25.2,,,,
2018-02-27 01:03:22,84.65,,,,,
2018-02-25 16:36:34,82.35,,,,,
2018-02-24 16:05:56,81.6,22.33,,,,
2018-02-24 00:16:17,83.95,24.03,,,,
2018-02-23 13:17:23,80.65,22.78,,,,
2018-02-22 21:10:01,84.1,,,,,
2018-02-20 11:50:54,82.2,,,,,
2018-02-20 11:40:50,82.15,23.01,,,,
2018-02-19 12:21:16,81.75,25.42,,,,
2018-02-19 12:12:05,81.85,,,,,
2018-02-19 12:08:00,81.9,,,,,
2018-02-19 12:05:30,82.8,,,,,
2018-02-18 21:50:46,81.75,23.61,,,,
2018-02-18 11:45:39,81.4,25.07,,,,
2018-02-18 11:39:39,81.4,,,,,
2018-02-16 08:27:21,83.45,,,,,
2018-02-16 08:19:22,83.4,,,,,
2018-02-15 07:41:39,83.5,,,,,
2018-02-15 07:39:22,83.45,22.66,,,,
2018-02-14 18:27:07,85.25,23.57,,,,
2018-02-14 07:46:11,82,,,,,
2018-02-14 07:23:28,81.95,23.6,,,,
2018-02-10 06:34:22,85,,,,,
2018-02-09 10:24:09,83.95,,,,,
2018-02-06 05:43:30,84.25,26.81,,,,
2018-02-05 03:47:06,86.05,25.66,,,,
2018-02-05 01:47:39,85.2,25.05,,,,
2018-02-03 21:13:12,83.15,24.56,,,,
2018-02-01 19:45:41,86.05,,,,,
2018-01-31 02:29:21,85.1,,,,,
2018-01-27 20:29:32,84.85,,,,,
2018-01-25 14:35:49,84.6,,,,,
2018-01-23 23:27:54,85.5,,,,,
2018-01-23 13:05:49,83.95,,,,,
2018-01-23 04:47:02,84.7,24.53,,,,
2018-01-23 03:30:34,86.05,,,,,
2018-01-22 12:38:42,83.6,23.96,,,,
2018-01-21 22:33:15,84.9,27.51,,,,
2018-01-21 06:59:47,84.55,23.82,,,,
2018-01-20 14:32:42,84.3,26.12,,,,
2018-01-17 17:42:47,86.15,22.26,,,,
2018-01-17 09:42:40,86,28.29,,,,
2018-01-16 08:39:01,83.55,24.58,,,,
2018-01-15 17:32:12,85.7,24.28,,,,
2018-01-14 04:27:48,83.15,24.31,,,,
2018-01-13 10:11:18,83.35,24.69,,,,
2018-01-12 00:53:18,84.3,24.28,,,,
2018-01-11 01:42:58,84.45,23.94,,,,
2018-01-10 08:41:29,85.5,25.64,,,,
2018-01-09 02:24:42,83.65,24.51,,,,
2018-01-07 00:50:55,84.3,25.27,,,,
2018-01-05 16:58:54,84.05,23.42,,,,
2018-01-05 07:54:25,85.05,23.5,,,,
2018-01-05 00:10:34,85.7,23.73,,,,
2018-01-04 20:30:29,83.45,22.29,,,,
2018-01-03 23:39:38,82.95,24.57,,,,
2018-01-03 22:24:12,83.3,24.14,,,,
2018-01-03 18:58:16,83.9,23.34,,,,
2018-01-03 04:49:41,83.55,22.73,,,,
2018-01-03 00:24:25,83.25,23.28,,,,
2018-01-02 23:06:56,83.65,22.36,,,,
2018-01-02 20:42:31,84.05,19.99,,,,
2018-01-02 17:12:40,84.6,22.79,,,,
2018-01-02 08:39:20,86.95,20.64,,,,
2018-01-01 17:09:34,83.6,23.75,,,,
2017-12-31 20:30:24,85.05,25.76,,,,
2017-12-31 03:55:50,86.55,22.46,,,,
2017-12-18 10:53:53,82.8,23.68,,,,
2017-12-15 16:20:54,83.9,,,,,
2017-12-08 03:37:08,83.05,22.5,,,,
2017-12-05 03:04:06,81.85,20.76,,,,
2017-12-04 19:04:40,84.5,24.71,,,,
2017-12-01 06:51:33,81.05,22.61,,,,
2017-11-28 21:35:29,79.95,21.19,,,,
2017-11-13 19:53:45,81.05,,,,,
2017-11-10 01:18:19,81.1,18.71,,,,
2017-11-09 03:13:56,80.8,20.37,,,,
2017-11-07 20:16:47,79.05,19.98,,,,
2017-11-05 12:08:42,78.3,20.51,,,,
2017-11-04 20:31:07,79.85,21.4,,,,
2017-11-01 21:29:30,81.9,20.31,,,,
2017-10-30 22:42:29,80.4,20.89,,,,
2017-10-19 07:05:09,78.75,,,,,
2017-10-18 13:52:49,80.8,20.13,,,,
2017-10-12 10:15:30,79.25,20.53,,,,
2017-10-11 19:08:28,78.65,20.73,,,,
2017-10-11 17:11:15,78.6,21.02,,,,
2017-10-05 06:50:35,80.85,21.55,,,,
2017-09-28 21:23:41,79.65,18.8,,,,
2017-09-25 04:21:32,79.8,19.59,,,,
2017-09-22 21:48:09,79.1,19.41,,,,
2017-09-22 00:49:51,78.9,20.82,,,,
2017-09-17 16:56:05,77.05,19.07,,,,
2017-09-17 03:22:22,78.4,,,,,
2017-09-13 13:34:15,77.85,19.42,,,,
2017-09-12 01:48:21,79.95,18.29,,,,
2017-09-08 13:32:36,78.75,20.64,,,,
2017-09-07 02:31:08,80.1,17.64,,,,
2017-09-02 03:24:28,78.95,18.31,,,,
2017-09-01 12:54:07,77.65,18.2,,,,
2017-08-27 03:08:47,79.5,16.42,,,,
2017-08-26 06:23:14,77.85,17.14,,,,
2017-08-24 21:57:39,78.85,,,,,
2017-08-16 13:10:22,77.7,18.32,,,,
2017-08-14 20:01:02,78.65,17.69,,,,
2017-08-11 12:30:46,80.25,19.89,,,,
2017-08-07 10:48:54,78.05,17.78,,,,
2017-08-07 00:25:39,77.6,19,,,,
2017-08-06 20:17:31,77.9,,,,,
2017-08-05 19:17:14,78.25,,,,,
2017-08-05 13:45:35,77.15,,,,,
2017-08-05 00:15:30,79.2,19.48,,,,
2017-08-03 13:49:48,77,19.64,,,,
2017-08-02 23:13:40,79,19.36,,,,
2017-08-02 10:45:51,78.3,19.5,,,,
2017-08-01 14:52:52,78.3,19.37,,,,
2017-07-30 18:54:51,78.25,17.14,,,,
2017-07-29 13:41:38,78.15,18.63,,,,
2017-07-28 14:01:57,79.25,18.83,,,,
2017-07-27 22:15:03,80.35,18.57,,,,
2017-07-27 21:09:47,82.2,,,,,
2017-07-24 22:05:13,79.1,18.28,,,,
2017-07-21 14:07:34,78.35,,,,,
2017-07-19 19:50:09,77.6,20.2,,,,
2017-07-16 13:36:14,77.2,,,,,
2017-07-15 17:46:14,78.35,20.57,,,,
2017-07-13 19:18:59,77.8,,,,,
2017-07-12 23:03:09,79.3,19.51,,,,
2017-07-10 22:50:28,78.25,,,,,
2017-07-08 21:35:32,78.7,19.57,,,,
2017-07-07 14:02:28,76.8,,,,,
2017-07-05 19:26:59,76.15,18.34,,,,
2017-07-04 15:05:38,76.6,18.25,,,,
2017-07-02 19:37:51,76.95,18.77,,,,
2017-06-28 14:39:17,77.2,,,,,
2017-06-27 14:41:10,76.55,18.13,,,,
2017-06-25 21:09:08,76.05,16.94,,,,
2017-06-24 19:23:00,75.75,17.01,,,,
2017-06-21 13:19:19,74.65,17.6,,,,
2017-06-20 13:58:12,74.7,17.54,,,,
2017-06-19 11:49:52,75.6,16.82,,,,
2017-06-18 13:52:48,74.5,17.34,,,,
2017-06-18 00:21:16,76.35,,,,,
2017-06-16 23:28:39,76.1,,,,,
2017-06-15 21:26:30,75.2,15.14,,,,
2017-06-15 11:44:47,73.8,16.57,,,,
2017-06-14 23:34:48,74.35,16.87,,,,
2017-06-14 22:02:27,74.4,,,,,
2017-06-14 13:06:53,73.3,16.34,,,,
2017-06-14 00:19:30,73.9,17.6,,,,
2017-06-13 18:40:24,74.4,20.27,,,,
2017-06-12 19:43:21,75.65,17.08,,,,
2017-06-11 13:49:36,75.05,17.72,,,,
